Parameter,Unit,Normal_Mean,Excursion_Mean,Absolute_Change,Percentage_Change
TMA Pulse,s,0.996084496710779,0.9253604745823353,-0.07072402212844375,-7.100203081363592
H2O Pulse,s,1.0027259835999909,1.0291689668839037,0.026442983283912813,2.637109610840751
Chamber Pressure,Torr,1.0002800350482233,0.9329489350630399,-0.06733109998518338,-6.7312250195953744
GPC,nm/cycle,0.10027948851344345,0.0928458965480867,-0.007433591965356756,-7.412873834473348
Film Thickness,nm,10.020329432677308,8.928303866454556,-1.0920255662227518,-10.898100442302287
Thickness Uniformity,%,1.02087129930431,1.0747119445470394,0.05384064524272936,5.273989510667993
Film Stress,MPa,50.28757123479019,47.712208600525955,-2.5753626342642377,-5.121270665946455
Film Density,g/cm3,3.000750216255049,3.003071137353341,0.0023209210982919615,0.0773446948606233
Surface Roughness,nm RMS,0.20055385012606897,0.18891300919128745,-0.011640840934781516,-5.804346776421413
Defect Density,defects/cm2,4.992305676155509,4.704543494012316,-0.2877621821431937,-5.76411383456781
