Lot,Wafer,Measurement,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Cycle_Time_s,Throughput_cycles_per_hour,Thickness_Deviation_%,Thickness_OK,Uniformity_OK,Stress_OK,Density_OK,Roughness_OK,Defectivity_OK,Measurement_OK,Original_GPC_nm_per_cycle,Original_TMA_Pulse_s,GPC_OK,Excursion_Status,GPC_Excursion_Detected,SPC_Status
1,1,1,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0988930649962173,10.011460376042791,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.11460376042791154,True,True,True,True,True,True,True,0.0988930649962173,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
1,1,2,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0993152861068831,10.001983764540448,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.019837645404479076,True,True,True,True,True,True,True,0.0993152861068831,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
1,1,3,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.098820025358632,10.009889406634043,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.09889406634043141,True,True,True,True,True,True,True,0.098820025358632,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
1,1,4,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0991082164609469,10.006921726436149,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.06921726436148745,True,True,True,True,True,True,True,0.0991082164609469,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
1,1,5,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0990723434887597,10.017698533285742,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.17698533285742002,True,True,True,True,True,True,True,0.0990723434887597,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
1,2,1,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0995080018773141,10.021451909395095,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.21451909395095115,True,True,True,True,True,True,True,0.0995080018773141,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
1,2,2,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0999552266567503,10.010769213666824,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.10769213666824486,True,True,True,True,True,True,True,0.0999552266567503,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
1,2,3,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0999229951008944,10.034339719545288,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.3433971954528836,True,True,True,True,True,True,True,0.0999229951008944,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
1,2,4,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0998296972173229,10.013159310174585,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.13159310174584604,True,True,True,True,True,True,True,0.0998296972173229,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
1,2,5,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0998256553994216,10.024919422354374,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.2491942235437428,True,True,True,True,True,True,True,0.0998256553994216,1.011256767937097,True,NORMAL,NORMAL,IN_CONTROL
