Lot,Mean_Thickness_nm,Std_Thickness_nm,Mean_GPC_nm_per_cycle,Mean_Uniformity_percent,Mean_Stress_MPa,Mean_Density_g_cm3,Mean_Roughness_nm,Mean_Defects_per_cm2,Accepted_Measurements,Total_Measurements,Lot_Qualification_%
1,10.024436041055507,0.033472217580738255,0.100256866281394,0.9649582992740803,47.76664391459198,3.002535464859989,0.1987456666175548,4.999500080774046,50,50,100.0
2,10.07365478639478,0.04253105136797029,0.10067393407511632,1.0068350748845483,50.55444794574695,2.9958895381576593,0.19606038152788938,4.987083647684044,50,50,100.0
3,10.055994150873406,0.039809564366812274,0.10061357246909443,0.9717915785961933,52.83730417555613,3.0111003338598836,0.19718546841523119,4.844830767083462,50,50,100.0
4,9.953247697771118,0.0380538686825542,0.09954892100653787,0.9756112521632184,51.826576108981634,3.0056258177179314,0.19972789442119004,5.2621276424315955,50,50,100.0
5,10.087263704190448,0.03218090677967224,0.10085891057791248,0.9934427314477458,49.18940203982899,2.99630538517139,0.19027094549828558,5.181015902726842,50,50,100.0
6,9.95185852380266,0.040920675812116336,0.099537154177754,0.9334717743402458,49.313973688862376,2.997673532137762,0.20093052840759754,4.999668708418029,50,50,100.0
7,9.963034512288907,0.03301879830036801,0.0996312457637736,1.0343724035134585,51.22520532876064,2.9970168288029027,0.19863764908576023,5.18758539016655,50,50,100.0
8,10.047421026870664,0.034648235313899926,0.1005065725985391,0.9884750964097218,46.85990574721425,2.998704881930844,0.20273429818197383,5.272681089465977,50,50,100.0
9,10.06766047277453,0.03531236428824954,0.10064709803591292,0.9973355729942358,51.80245333640963,2.9985474064981408,0.18938636361746006,4.857674971336897,50,50,100.0
10,9.932935463282508,0.03360280371718827,0.09928435495410076,1.0048838974507943,48.179825805143075,3.0040814689070316,0.2006981556442092,4.531084000715485,50,50,100.0
11,9.98264101689742,0.03708036120749296,0.0998206594274869,0.9811565159905637,50.43642605295556,2.9996864056612167,0.21366269604884772,5.113829719444067,50,50,100.0
12,10.09256127273742,0.032122680625997393,0.10090864230898468,0.9810984914747938,51.430851773290826,3.000894792823618,0.18961155105147343,4.625721995989641,50,50,100.0
13,9.922470650036537,0.03367050265910137,0.0992120394599027,1.0704673483176526,50.68405833693001,2.994091074568473,0.20113767867235535,5.4126231917322,50,50,100.0
14,9.976670103121533,0.033642239857250636,0.0997874805090491,1.0681960443302394,49.78725496919831,2.9969866192825108,0.1936451765963973,5.145973978350427,50,50,100.0
15,9.953439905442506,0.0361548169633652,0.09948216294772882,0.9779250511560557,50.41390607560804,3.00059279485342,0.18916746766819054,4.798294016595446,50,50,100.0
16,10.030803023691993,0.03422354503488128,0.10029498112651888,0.9985695276823827,50.07236678667007,3.0016041638281217,0.20262968992883862,5.164250349378554,50,50,100.0
17,10.014990693685151,0.03578306803666912,0.1001469836752818,1.0396356373684639,45.3960910592453,2.9970473949018275,0.20334576538817659,4.786412956876337,50,50,100.0
18,10.030224290737731,0.037899157382281334,0.10028711177968652,1.0025556725905396,49.4397199230664,2.9936374450594507,0.21289198002864163,5.140258060715953,50,50,100.0
19,10.020485077413145,0.030139135508001336,0.10018931123726867,0.94013072947116,52.18806055364481,2.9957491881682246,0.1951563713472521,4.740048812921939,50,50,100.0
20,9.956865767436925,0.03798073113165205,0.0995420151734098,1.0109410887259782,51.736646758544595,3.0008850835032677,0.19794470421285063,5.2927860010116055,50,50,100.0
21,9.968221987598225,0.03538644740271422,0.09965248509889227,1.0316624571590303,48.52781769741794,3.001209382232422,0.19972526420377126,5.127553324162566,50,50,100.0
22,10.01003900754829,0.03807092670904497,0.10013935290384268,0.9959228455800825,50.74102523658793,2.9973320804646146,0.1980356610825903,5.19954437575803,50,50,100.0
23,10.01064745960022,0.039226752298254605,0.10012594447396513,1.018722487330954,50.961224481155796,3.0013646549833135,0.19383595965488834,4.959842968968231,50,50,100.0
24,10.061036186617708,0.04197844808458357,0.10061761180424118,1.0199867603826467,49.51069248527786,2.999960468877317,0.21147904574130438,4.733269200515336,50,50,100.0
25,10.006282610870592,0.033248968864361905,0.10010608148943508,1.005173699519006,50.94403811215866,2.996024088641428,0.20203948215299256,5.125210993108696,50,50,100.0
26,10.026313861285724,0.03623247895836186,0.10020995872093152,0.9653653067644278,48.6481813356224,2.9941974755101217,0.2021213083329049,5.115653124468213,50,50,100.0
27,10.056813148657701,0.036019741703741545,0.10055575131293155,1.020726460211884,52.65313833178428,2.99339748175509,0.2050834198970101,4.928373173284074,50,50,100.0
28,10.029831661353205,0.03018467468930555,0.1002891647320442,0.9724452081920376,48.153938545415855,2.9992306453672266,0.19989422437956503,4.831629280833605,50,50,100.0
29,10.005496159757408,0.036428364285491364,0.10003759135873358,1.1074455699601828,50.032723952602765,2.9971311750249856,0.21309387650695272,4.937376746399889,50,50,100.0
30,10.01173230559571,0.030172869165261983,0.10020963052242754,1.0248666231312873,51.995889818700356,3.001602068432472,0.19625016784516108,4.756500557950705,50,50,100.0
