Lot,Wafer,Measurement,Temperature_C,Pressure_Torr,TMA_Pulse_s,H2O_Pulse_s,Purge_s,GPC_nm_per_cycle,Film_Thickness_nm,Thickness_Uniformity_1sigma_%,Film_Stress_MPa,Film_Density_g_cm3,Surface_Roughness_nm_RMS,Defect_Density_per_cm2,Cycle_Time_s,Throughput_cycles_per_hour,Thickness_Deviation_%,Thickness_OK,Uniformity_OK,Stress_OK,Density_OK,Roughness_OK,Defectivity_OK,Measurement_OK,Film_Thickness_nm_SPC_Status,GPC_nm_per_cycle_SPC_Status,Thickness_Uniformity_1sigma_%_SPC_Status,Defect_Density_per_cm2_SPC_Status,Overall_SPC_Status
1,1,1,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0988930649962173,10.011460376042791,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.1146037604279115,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,1,2,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0993152861068831,10.001983764540448,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.019837645404479,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,1,3,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.098820025358632,10.009889406634043,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.0988940663404491,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,1,4,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0991082164609469,10.006921726436149,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.0692172643614874,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,1,5,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0990723434887597,10.017698533285742,0.9887258728800749,49.09030406460389,2.989048095006809,0.2059173319461412,5.578251059176568,11.635158200952198,309.40705212803925,0.17698533285742,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,2,1,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0995080018773141,10.021451909395095,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.2145190939509689,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,2,2,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0999552266567503,10.010769213666824,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.107692136668227,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,2,3,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0999229951008944,10.034339719545288,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.3433971954528658,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,2,4,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0998296972173229,10.013159310174585,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.131593101745846,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,2,5,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0998256553994216,10.024919422354374,0.9625081421209748,49.43735379841559,2.9831354774451566,0.2106419180163547,5.6322525371506735,11.635158200952198,309.40705212803925,0.2491942235437428,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,3,1,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0980844953824384,10.031584311730406,0.9950679995046704,50.01717559697602,2.988649938079846,0.2106878444261439,5.074797522836399,11.635158200952198,309.40705212803925,0.3158431173040554,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,3,2,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0981430645033582,10.02677878508664,0.9950679995046704,50.01717559697602,2.988649938079846,0.2106878444261439,5.074797522836399,11.635158200952198,309.40705212803925,0.2677878508664122,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,3,3,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0979658578440183,10.058902568866625,0.9950679995046704,50.01717559697602,2.988649938079846,0.2106878444261439,5.074797522836399,11.635158200952198,309.40705212803925,0.589025688666247,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,3,4,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0977207462472415,10.050973871221853,0.9950679995046704,50.01717559697602,2.988649938079846,0.2106878444261439,5.074797522836399,11.635158200952198,309.40705212803925,0.5097387122185104,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,3,5,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0982744330982577,10.03135527392404,0.9950679995046704,50.01717559697602,2.988649938079846,0.2106878444261439,5.074797522836399,11.635158200952198,309.40705212803925,0.3135527392403858,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,4,1,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0982757258393397,10.008643336500649,0.9985010096685112,49.600871455238696,2.984892582123073,0.2113679073923997,5.34765920351604,11.635158200952198,309.40705212803925,0.0864333650064885,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,4,2,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0987648602267569,10.0140017190597,0.9985010096685112,49.600871455238696,2.984892582123073,0.2113679073923997,5.34765920351604,11.635158200952198,309.40705212803925,0.1400171905969927,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,4,3,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0988228576097611,10.029974220496833,0.9985010096685112,49.600871455238696,2.984892582123073,0.2113679073923997,5.34765920351604,11.635158200952198,309.40705212803925,0.2997422049683251,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,4,4,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0986632739108638,10.021405261922904,0.9985010096685112,49.600871455238696,2.984892582123073,0.2113679073923997,5.34765920351604,11.635158200952198,309.40705212803925,0.2140526192290437,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,4,5,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0985229080416247,10.037241861442604,0.9985010096685112,49.600871455238696,2.984892582123073,0.2113679073923997,5.34765920351604,11.635158200952198,309.40705212803925,0.3724186144260422,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
1,5,1,200.45707561963164,0.9688004768127852,1.011256767937097,1.0141084707458683,4.804896481134616,0.0976614139845249,10.024132364548562,0.9638089772155612,49.5678586334888,2.981225142858451,0.210254897190985,5.287713552580307,11.635158200952198,309.40705212803925,0.2413236454856182,True,True,True,True,True,True,True,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
